IndexNote;IndexClient;nbcouverts;DateDepart;DateArrivee;NbAdultes;NbEnfants;Nuitees;IModeReglement;DatePrestation;PrixUnitaire;Quantite;IProduitVente;CodeStatistique;LibelleStatistique;IndexDate;IndexMeteo
32;16;;2017-06-17;2017-06-10;1;0;7;2;2017-06-13;70;1;179;FORF;FORFAIT;163;164;1
32;16;;2017-06-19;2017-06-17;1;0;2;2;2017-06-13;70;1;179;FORF;FORFAIT;163;164;1
32;16;;2017-06-17;2017-06-10;1;0;7;2;2017-06-14;70;1;179;FORF;FORFAIT;164;165;1
32;16;;2017-06-19;2017-06-17;1;0;2;2;2017-06-14;70;1;179;FORF;FORFAIT;164;165;1
32;16;;2017-06-17;2017-06-10;1;0;7;2;2017-06-15;70;1;179;FORF;FORFAIT;165;166;1
32;16;;2017-06-19;2017-06-17;1;0;2;2;2017-06-15;70;1;179;FORF;FORFAIT;165;166;1
32;16;;2017-06-17;2017-06-10;1;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167;1
32;16;;2017-06-19;2017-06-17;1;0;2;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167;1
32;16;;2017-06-17;2017-06-10;1;0;7;2;2017-06-17;55;2;179;FORF;FORFAIT;167;168;1
32;16;;2017-06-19;2017-06-17;1;0;2;2;2017-06-17;55;2;179;FORF;FORFAIT;167;168;1
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
33;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
33;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
34;16;;2017-06-17;2017-06-10;2;0;7;2;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-10;55;2;179;FORF;FORFAIT;160;161;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-11;55;2;179;FORF;FORFAIT;161;162;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-12;55;2;179;FORF;FORFAIT;162;163;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-13;55;2;179;FORF;FORFAIT;163;164;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-14;55;2;179;FORF;FORFAIT;164;165;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-15;55;2;179;FORF;FORFAIT;165;166;2
35;16;;2017-06-17;2017-06-10;2;0;7;3;2017-06-16;55;2;179;FORF;FORFAIT;166;167;2
