IndexDate,Annee,Mois,Jour,Date,VacancesScolaires
498,2018,05,14,2018-05-14,false
499,2018,05,15,2018-05-15,false
500,2018,05,16,2018-05-16,false
501,2018,05,17,2018-05-17,false
502,2018,05,18,2018-05-18,false
503,2018,05,19,2018-05-19,false
504,2018,05,20,2018-05-20,false
505,2018,05,21,2018-05-21,false
506,2018,05,22,2018-05-22,false
507,2018,05,23,2018-05-23,false
508,2018,05,24,2018-05-24,false
509,2018,05,25,2018-05-25,false
510,2018,05,26,2018-05-26,false
511,2018,05,27,2018-05-27,false
512,2018,05,28,2018-05-28,false
513,2018,05,29,2018-05-29,false
514,2018,05,30,2018-05-30,false
515,2018,05,31,2018-05-31,false
516,2018,06,01,2018-06-01,false
517,2018,06,02,2018-06-02,false
518,2018,06,03,2018-06-03,false
519,2018,06,04,2018-06-04,false
520,2018,06,05,2018-06-05,false
521,2018,06,06,2018-06-06,false
522,2018,06,07,2018-06-07,false
523,2018,06,08,2018-06-08,false
524,2018,06,09,2018-06-09,false
525,2018,06,10,2018-06-10,false
526,2018,06,11,2018-06-11,false
527,2018,06,12,2018-06-12,false
528,2018,06,13,2018-06-13,false
529,2018,06,14,2018-06-14,false
530,2018,06,15,2018-06-15,false
531,2018,06,16,2018-06-16,false
532,2018,06,17,2018-06-17,false
533,2018,06,18,2018-06-18,false
534,2018,06,19,2018-06-19,false
535,2018,06,20,2018-06-20,false
536,2018,06,21,2018-06-21,false
537,2018,06,22,2018-06-22,false
538,2018,06,23,2018-06-23,false
539,2018,06,24,2018-06-24,false
540,2018,06,25,2018-06-25,false
541,2018,06,26,2018-06-26,false
542,2018,06,27,2018-06-27,false
543,2018,06,28,2018-06-28,false
544,2018,06,29,2018-06-29,false
545,2018,06,30,2018-06-30,false
546,2018,07,01,2018-07-01,false
547,2018,07,02,2018-07-02,false
548,2018,07,03,2018-07-03,false
549,2018,07,04,2018-07-04,false
550,2018,07,05,2018-07-05,false
551,2018,07,06,2018-07-06,false
552,2018,07,07,2018-07-07,true
553,2018,07,08,2018-07-08,true
554,2018,07,09,2018-07-09,true
555,2018,07,10,2018-07-10,true
556,2018,07,11,2018-07-11,true
557,2018,07,12,2018-07-12,true
558,2018,07,13,2018-07-13,true
559,2018,07,14,2018-07-14,true
560,2018,07,15,2018-07-15,true
561,2018,07,16,2018-07-16,true
562,2018,07,17,2018-07-17,true
563,2018,07,18,2018-07-18,true
564,2018,07,19,2018-07-19,true
565,2018,07,20,2018-07-20,true
566,2018,07,21,2018-07-21,true
567,2018,07,22,2018-07-22,true
568,2018,07,23,2018-07-23,true
569,2018,07,24,2018-07-24,true
570,2018,07,25,2018-07-25,true
571,2018,07,26,2018-07-26,true
572,2018,07,27,2018-07-27,true
573,2018,07,28,2018-07-28,true
574,2018,07,29,2018-07-29,true
575,2018,07,30,2018-07-30,true
576,2018,07,31,2018-07-31,true
577,2018,08,01,2018-08-01,true
578,2018,08,02,2018-08-02,true
579,2018,08,03,2018-08-03,true
580,2018,08,04,2018-08-04,true
581,2018,08,05,2018-08-05,true
582,2018,08,06,2018-08-06,true
583,2018,08,07,2018-08-07,true
584,2018,08,08,2018-08-08,true
585,2018,08,09,2018-08-09,true
586,2018,08,10,2018-08-10,true
587,2018,08,11,2018-08-11,true
588,2018,08,12,2018-08-12,true
589,2018,08,13,2018-08-13,true
590,2018,08,14,2018-08-14,true
591,2018,08,15,2018-08-15,true
592,2018,08,16,2018-08-16,true
593,2018,08,17,2018-08-17,true
594,2018,08,18,2018-08-18,true
595,2018,08,19,2018-08-19,true
596,2018,08,20,2018-08-20,true
597,2018,08,21,2018-08-21,true
598,2018,08,22,2018-08-22,true
599,2018,08,23,2018-08-23,true
600,2018,08,24,2018-08-24,true
601,2018,08,25,2018-08-25,true
602,2018,08,26,2018-08-26,true
603,2018,08,27,2018-08-27,true
604,2018,08,28,2018-08-28,true
605,2018,08,29,2018-08-29,true
606,2018,08,30,2018-08-30,true
607,2018,08,31,2018-08-31,true
608,2018,09,01,2018-09-01,true
609,2018,09,02,2018-09-02,true
610,2018,09,03,2018-09-03,false
611,2018,09,04,2018-09-04,false
612,2018,09,05,2018-09-05,false
613,2018,09,06,2018-09-06,false
614,2018,09,07,2018-09-07,false
615,2018,09,08,2018-09-08,false
616,2018,09,09,2018-09-09,false
617,2018,09,10,2018-09-10,false
618,2018,09,11,2018-09-11,false
619,2018,09,12,2018-09-12,false
620,2018,09,13,2018-09-13,false
621,2018,09,14,2018-09-14,false
622,2018,09,15,2018-09-15,false
623,2018,09,16,2018-09-16,false
624,2018,09,17,2018-09-17,false
625,2018,09,18,2018-09-18,false
626,2018,09,19,2018-09-19,false
627,2018,09,20,2018-09-20,false
628,2018,09,21,2018-09-21,false
629,2018,09,22,2018-09-22,false
630,2018,09,23,2018-09-23,false
631,2018,09,24,2018-09-24,false
632,2018,09,25,2018-09-25,false
633,2018,09,26,2018-09-26,false
634,2018,09,27,2018-09-27,false
635,2018,09,28,2018-09-28,false
636,2018,09,29,2018-09-29,false
637,2018,09,30,2018-09-30,false
638,2018,10,01,2018-10-01,false
639,2018,10,02,2018-10-02,false
640,2018,10,03,2018-10-03,false
641,2018,10,04,2018-10-04,false
642,2018,10,05,2018-10-05,false
643,2018,10,06,2018-10-06,false
644,2018,10,07,2018-10-07,false
645,2018,10,08,2018-10-08,false
646,2018,10,09,2018-10-09,false
647,2018,10,10,2018-10-10,false
648,2018,10,11,2018-10-11,false
649,2018,10,12,2018-10-12,false
650,2018,10,13,2018-10-13,false
651,2018,10,14,2018-10-14,false
652,2018,10,15,2018-10-15,false
653,2018,10,16,2018-10-16,false
654,2018,10,17,2018-10-17,false
655,2018,10,18,2018-10-18,false
656,2018,10,19,2018-10-19,false
657,2018,10,20,2018-10-20,true
658,2018,10,21,2018-10-21,true
659,2018,10,22,2018-10-22,true
660,2018,10,23,2018-10-23,true
661,2018,10,24,2018-10-24,true
662,2018,10,25,2018-10-25,true
663,2018,10,26,2018-10-26,true
664,2018,10,27,2018-10-27,true
665,2018,10,28,2018-10-28,true
666,2018,10,29,2018-10-29,true
667,2018,10,30,2018-10-30,true
668,2018,10,31,2018-10-31,true
669,2018,11,01,2018-11-01,true
670,2018,11,02,2018-11-02,true
671,2018,11,03,2018-11-03,true
672,2018,11,04,2018-11-04,true
673,2018,11,05,2018-11-05,false
674,2018,11,06,2018-11-06,false
675,2018,11,07,2018-11-07,false
676,2018,11,08,2018-11-08,false
677,2018,11,09,2018-11-09,false
678,2018,11,10,2018-11-10,false
679,2018,11,11,2018-11-11,false
680,2018,11,12,2018-11-12,false
681,2018,11,13,2018-11-13,false
682,2018,11,14,2018-11-14,false
683,2018,11,15,2018-11-15,false
684,2018,11,16,2018-11-16,false
685,2018,11,17,2018-11-17,false
686,2018,11,18,2018-11-18,false
687,2018,11,19,2018-11-19,false
688,2018,11,20,2018-11-20,false
